CommunityID	SubCommunityID	RefID	DocID	DocLable	Title	Year	Citation	DE-Keywords	ID-Keywords	Abstract
0	3	5123	1105	Rosenzweig ED, PROD OPER MANAG, 2004	Towards a theory of competitive progression: Evidence from high-tech manufacturing	2004	98	manufacturing strategy; competitive progression theory; competitive capabilities; high-tech manufacturing; empirical research	TRADE-OFFS; EMPIRICAL-EXAMINATION; VOLUME FLEXIBILITY; CORPORATE-STRATEGY; CAPABILITIES; PERFORMANCE; INDUSTRY; QUALITY; KNOWLEDGE; DIMENSIONS	This study replicates and extends Ferdows and De Meyers' observed 'sand cone' model of cumulative competitive capabilities by means of Roth's related competitive progression theory (CPT). Using path analysis, we model and test the relationships among the generic competitive capability constructs of conformance quality, delivery reliability, volume flexibility, and low cost as predicted by CPT. Our results, drawn from a sample of high-tech manufacturers, provide further evidence that on average, these four capabilities are acquired both cumulatively and in that sequence. We also find that each generic capability increases operational know-how and reduces non-value-added directly and/or indirectly through the enhancement of successive capabilities in the progression, which in turn improves profitability. The paper contributes a theoretical rationale for the observed sand cone effect, describes how the competitive progression acts to influence accelerated organizational learning over an innovation cycle, and offers evidence that combinative capabilities have strategic value for high-tech manufacturers.
0	3	5123	1117	Lapre MA, PROD OPER MANAG, 2004	Performance improvement paths in the US airline industry: Linking trade-offs to asset frontiers	2004	33	operations strategy; performance improvement paths; trade-offs; asset frontiers; logistic regression; services; strategy	MANUFACTURING FLEXIBILITY; STRATEGY; MANAGEMENT	Several articles have been written during the past few years examining performance improvement paths and various forms of efficiency frontiers in operations strategy. These articles focus primarily on defining and describing these frontiers and raise questions concerning how to improve operations. In this paper, we provide one of the first empirical studies aimed at validating these earlier studies. Using a database on the 10 largest U.S. airlines for a period of 11 years, we test and validate some of the models presented in the operations literature. The 10 major airlines are separated into 2 groups for analysis: geographic specialists and geographic generalists. Our analysis shows that better Performing airlines (in terms of cost-quality position) in both groups confirm the predictions of the sand cone model when operating further away from their asset frontiers, although trade-offs do occur when operating close to asset frontiers.
0	3	5123	1134	Hegde VG, PROD OPER MANAG, 2005	Customization: Impact on product and process performance	2005	10	customization; design-to-order; product performance; product conformance; competing risk hazard function model	MASS CUSTOMIZATION; DESIGN; DIFFERENTIATION; QUALITY; VARIETY; LINES	Manufacturing capability has often been viewed to be a major obstacle in achieving higher levels of customization. Companies follow various strategies ranging from equipment selection to order process management to cope with the challenges of increased customization. We examined how the customization process affects product performance and conformance in the context of a design-to-order (DTO) manufacturer of industrial components. Our competing risk hazard function model incorporates two thresholds, which we define as mismatch and manufacturing thresholds. Product performance was adversely affected when the degree of customization exceeded the mismatch threshold. Likewise, product conformance eroded when the degree of customization exceeded the manufacturing threshold. Relative sizes of the two thresholds have management implications for the subsequent investments to improve customization capabilities. Our research developed a rigorous framework to address two key questions relevant to the implementation of product customization: (1) what degrees of customization to offer, and (2) how to customize the product design process.
0	3	5123	1138	Boyer KK, PROD OPER MANAG, 2005	Operations strategy research in the POMS journal	2005	38	operations strategy; theory development; areas for future research	DRIVEN EMPIRICAL-RESEARCH; MANUFACTURING STRATEGY; TRADE-OFFS; PERFORMANCE; MANAGEMENT; FLEXIBILITY; PERSPECTIVE; DIRECTIONS; RESOURCES; INDUSTRY	In this paper, we examine the operations strategy literature in the POMS journal to determine what has been learned and to suggest new directions for further study in this important area of research. Our review of this literature resulted in the selection of thirty-one relevant articles, many of which draw upon multiple theoretical perspectives. We identify eight such theoretical perspectives, and go on to classify these perspectives in terms of the scope of inquiry employed in the research (focused versus aggregated) and the researcher's assumptions about choice processes (behavioral versus rational). In doing so, we show that this body of work is dominated by papers that draw upon theoretical perspectives enabling a more holistic scope of inquiry, with a bias towards a view of strategy as a highly rational process. Building on our systematic review and integration of the literature, we suggest multiple areas for future research.
0	3	5123	1184	Gupta S, PROD OPER MANAG, 2006	Empirical research published in Production and Operations Management (1992-2005): Trends and future research directions	2006	31	empirical research; manufacturing; service; theory building; theory verifying; applications; case study; qualitative research; archival research; survey research; field research; laboratory research; multivariate statistical techniques	REVISITING ISO-14000 DIFFUSION; SUPPLY-CHAIN; ENVIRONMENTAL PERFORMANCE; SERVICE QUALITY; MANUFACTURING STRATEGY; PRESIDENTS SYMPOSIUM; SUPERIOR QUALITY; CUSTOMER LOYALTY; TRADE-OFFS; IMPACT	We review and evaluate empirical research in more than 150 papers published in Production and Operations Management (POM) during 1992 to 2005 to assess how far the papers' authors have met the journal's stated objective of promoting empirical research. We also assess the diversity of articles in terms of the purposes of research, data collection approaches, and data analysis techniques. We classify the empirical research articles based on their primary purpose (theory building, theory verifying, application, and providing evidence), data collection approach (case study, qualitative research, archival research, survey-based research, laboratory research, and field research), data analysis technique (descriptive statistics, various multivariate statistical techniques, and mathematical modeling), and operations topics (strategy, quality, and supply chain management). We also discuss directions for future empirical research in operations management. During 1992 to 2005, the articles based on empirical data have increased substantially from 30 to 50 percent of all articles published in POM. During 1992 to 1998, about three-fourths of the empirical-research-based articles published in POM focused on the manufacturing industry, but recently the gap between the numbers of manufacturing- and service-focused articles published in POM has almost disappeared. While a previous assessment of articles published in a range of operations management journals showed that almost all of the empirical articles were based on either surveys or case studies, our results indicate that POM has published articles that were based on a much wider and more diverse range of data collection approaches. Production and Operations Management has clearly established itself as a leading outlet for publishing empirical research in operations management.
0	3	5123	1198	Squire B, PROD OPER MANAG, 2006	The impact of mass customisation on manufacturing trade-offs	2006	31	trade-offs; manufacturing strategy; empirical research	OPERATIONS MANAGEMENT; STRATEGY; PERFORMANCE; CUSTOMER; MODEL; LINK	Management literature has suggested that the advent of mass customisation marks the end for trade-offs between customisation and other competitive priorities (Pine et al. 1993; Westbrook and Williamson 1993; Tu et al. 2001). However, evidence supporting this proposition is anecdotal. This paper examines the impact of product customisation on four competitive priorities, drawing upon the results of a recent survey of 102 U.K. manufacturing firms from eight industry sectors. The study indicates significant compatibility between customisation and quality, volume flexibility, delivery reliability and non-manufacturing costs. On the other hand, trade-offs remain between customisation and manufacturing costs and delivery lead times. The results contradict the initial proposition that customisation can be "free," and have important implications for firms embarking upon a mass customisation strategy.
0	3	5123	1339	Chung WM, PROD OPER MANAG, 2009	Patterns of Advanced Manufacturing Technology Utilization and Manufacturing Capabilities	2009	7	Advanced Manufacturing Technologies; taxonomy; manufacturing capabilities	COMPETITIVE PRIORITIES; OPERATIONS MANAGEMENT; FLEXIBLE AUTOMATION; EMPIRICAL-ANALYSIS; TRADE-OFFS; PERFORMANCE; STRATEGY; FLEXIBILITY; TAXONOMY; INTEGRATION	The objectives of this research are first to empirically replicate Advanced Manufacturing Technology (AMT) utilization taxonomies identified in foregoing research, second to investigate the relationship between patterns of AMT utilization and manufacturing capabilities attainment, and third to explore differences in context, and performance across AMT groups. Theories of performance frontiers and capability progression provide the basis for our hypotheses. Data were collected from 224 U.S. manufacturing plants in industries considered to have potential utilizations of AMTs. A cluster analysis of the data yields a solution that closely resembles a previous AMT utilization taxonomy, including four groups labeled, respectively, as Traditionalists, Generalists, High Investors, and Designers. Significant manufacturing capability differences across these four groups indicate that plants that utilize a broader scope of AMTs enjoy a greater breadth of manufacturing capabilities. The implied capability attainment pattern is consistent with cumulative capability theory. However, the results suggest that cost capability is not included in the capability mix when broad-based AMT utilization is the enabler of capability gains. A post hoc exploration of the AMT groups indicates significant differences in performance across the groups. Collectively, the results extend prior research by providing added insights into the possible rationale and impact of AMT utilization patterns.
0	3	5123	1410	Rosenzweig ED, PROD OPER MANAG, 2010	Tradeoffs in Manufacturing? A Meta-Analysis and Critique of the Literature	2010	25	manufacturing strategy; tradeoffs; cumulative capabilities; meta-analysis	STRATEGICALLY FLEXIBLE PRODUCTION; OPERATIONS MANAGEMENT RESEARCH; PRODUCT-PROCESS MATRIX; COMPETITIVE CAPABILITIES; ORGANIZATIONAL PERFORMANCE; PLANT COMPETITIVENESS; EMPIRICAL-EXAMINATION; BUSINESS PERFORMANCE; CORPORATE-STRATEGY; NORTH-AMERICAN	An ongoing, important question in the operations strategy literature pertains to tradeoffs: Can manufacturers focus on multiple priorities simultaneously or achieve strength on multiple capabilities without sacrificing performance of another? In this paper, we accumulate, integrate, and examine the wide spectrum of conclusions reached in the literature concerning tradeoffs using modified meta-analysis methods. Based on two decades of empirical research in operations strategy, we find that the evidence in the literature indicates manufacturers, on average, do not report experiencing tradeoffs among the competitive dimensions of quality, delivery, flexibility, and cost as suggested by the classical tradeoffs model. Our meta-analysis also reveals that the way variables are operationalized, whether initiatives are implemented, and the unit of analysis are all related to the degree and nature of the evidence a paper contains with respect to the tradeoffs issue. We interpret our meta-analysis results in the context of the prevailing model of manufacturing strategy and the theory of performance frontiers. We also discuss how the research designs used in this literature, which are predominantly cross-sectional, affect the nature of the evidence generated and the conclusions that can be drawn. We go on to suggest research designs that more directly assess the tradeoffs issue.
0	0	11018	296	Rosenzweig ED, J OPER MANAG, 2007	B2B seller competence: Construct development and measurement using a supply chain strategy lens	2007	26	supply chain strategy; e-transactions; e-collaboration; B2B marketspaces; metrics; empirical research methods	RESOURCE-BASED VIEW; SUSTAINED COMPETITIVE ADVANTAGE; NET-ENHANCED ORGANIZATIONS; INFORMATION-TECHNOLOGY; E-BUSINESS; DYNAMIC CAPABILITIES; E-COMMERCE; FIRM PERFORMANCE; LONG-TERM; MANUFACTURING STRATEGY	In less than a decade, Internet-enabled business-to-business (B2B) commerce has become central to supply chain management. But little is known about the infrastructural competencies required for manufacturers engaged in Internet-enabled activities with downstream business customers. This paper aims to take a first step in operationalizing a set of new, multi-item measures that tap into infrastructural (or "soft") competencies required for leveraging B2B commerce. We use a structured, two-stage approach to develop and refine a set of constructs, items, and new multi-item measurement scales in order to rigorously evaluate their measurement properties. By drawing upon the literature as well as extensive interviews with expert practitioners, we define and measure the salient infrastructural competencies - termed B2B seller competence (B2B-SC) associated with the seller-side of Internet-enabled commerce. We find that the conceptual domain of B2B-SC comprises seven theoretically important dimensions: (1) technical skills, (2) change disposition, (3) conflict management, (4) market acuity, (5) coordinated logistics, (6) knowledge channels, and (7) fluid partnering. Operational indicators that tap into constructs pertaining to each B2B-SC dimension are developed through an iterative process. In the second stage, we conduct a field study to more fully assess the measurement properties of item and scale reliability and validity using a covariance structure framework. The results indicate that our new scales exhibit sufficient psychometric properties, which make them useful for theory building, testing, and the refinement of supply chain strategy paradigms in the emerging area of B2B commerce. (c) 2007 Elsevier B.V. All rights reserved.
0	0	11018	357	Modi SB, J OPER MANAG, 2007	Supplier development: Improving supplier performance through knowledge transfer	2007	89	purchasing; supply management; supplier development	COMMUNICATION STRATEGIES; PRODUCT DEVELOPMENT; MARKETING CHANNELS; MANAGEMENT; FIRM; CONFLICT; SUCCESS; INTEGRATION; CHAIN; CAPABILITIES	The dynamic business environment today requires organizations to effectively use all available resources to remain competitive. The quality and cost of a product or service offered in the market is a function, not only of the capabilities of the firm, but also the supplier network providing inputs to the enterprise. To remain competitive, organizations are increasingly implementing supplier development programs to maintain capable and high performance supply bases. This paper presents a conceptual model of an organization's efforts to improve supplier performance. Then latent variable structural equation modeling (LVSEM) is used to test the model with data for 215 supplier development experiences from US manufacturing firms. The results suggest that evaluation and certification efforts are the most important supplier development prerequisites before undertaking operational knowledge transfer activities such as site visits and supplier training. Furthermore, collaborative inter-organizational communication is identified as important supporting factor in transforming an organization's efforts to develop suppliers into supplier performance improvements. (c) 2006 Elsevier B.V. All rights reserved.
0	0	11018	370	Peng DX, J OPER MANAG, 2008	Linking routines to operations capabilities: A new perspective	2008	40	Capabilities; Routines; Improvement capability; Innovation capability; Resource-based view	RESOURCE-BASED VIEW; STRATEGIC MANAGEMENT RESEARCH; TOTAL QUALITY MANAGEMENT; MANUFACTURING STRATEGY; COMPETITIVE ADVANTAGE; DYNAMIC CAPABILITIES; PRODUCT DEVELOPMENT; WORLD-CLASS; ORGANIZATIONAL CAPABILITIES; PRODUCTION COMPETENCE	A typical approach to studying capabilities in the operations management literature is to assess the intended or realized competitive operational performance and their contribution to business and organizational objectives. While it is crucial to identify the operational performance that helps create competitive advantage, it is equally important to understand the means for delivering the needed performance at the operational level. Drawing on the resource-based view (RBV), we argue that routines are a critical source of operations capabilities and subsequently investigate operations capabilities by means of their underlying routines. Because a common problem to studying capabilities is the ambiguous and confusing definitions, we conduct an extensive literature review to address the semantic confusion among various definitions of capabilities and delineate it from other related terms. We identify improvement and innovation as two critical plant level capabilities, each consisting of a bundle of interrelated yet distinct routines. We then empirically measure the two capabilities as second-order latent variables and estimate their effects on a set of operational performance measures. The results suggest that routines form internally consistent bundles which are significantly related to operational performance. This supports our notion of "capabilities as routine bundles" that are difficult to imitate and thus a source of competitive advantage. (C) 2007 Elsevier B.V. All rights reserved.
0	0	11018	416	Paiva EL, J OPER MANAG, 2008	Organizational knowledge and the manufacturing strategy process: A resource-based view analysis	2008	40	organizational knowledge; resource-based view; manufacturing strategy process	CONFIRMATORY FACTOR-ANALYSIS; COMMON METHOD VARIANCE; PATH ANALYTIC MODEL; OPERATIONS MANAGEMENT; COMPETITIVE ADVANTAGE; PRODUCTION COMPETENCE; QUALITY MANAGEMENT; ENVIRONMENTAL UNCERTAINTY; EXPLORATORY ANALYSIS; CORPORATE STRATEGY	The current competitive environment is characterized by new sources of information, new technologies, new management practices, new competitors, and shorter product life cycles, which highlights the importance of organizational knowledge in manufacturing companies. We integrate some of those knowledge-based approaches seeking to understand how aspects related to cross-functional orientation, new technologies, and increasing access to information affect manufacturing strategy. In this paper, "know-what" (where to find the needed information) and "know-how" (how to run operations smoothly) are considered key components of organizational knowledge in the process of manufacturing strategy formulation. Assuming that knowledge accumulation may lead to competitive advantage, we propose a model of manufacturing strategy process from a resource-based view perspective. We used a survey to collect field data from 104 companies. The results indicate that cross-functional activities integrate manufacturing knowledge and contribute to the creation of valuable and rare product characteristics. (C) 2007 Elsevier B.V. All rights reserved.
0	0	11018	461	Kristal MM, J OPER MANAG, 2010	The effect of an ambidextrous supply chain strategy on combinative competitive capabilities and business performance	2010	18	Supply chain management; Ambidexterity; Exploitation; Exploration; Combinative competitive capabilities; Empirical research	SHARE-PROFITABILITY RELATIONSHIP; MANUFACTURING STRATEGY; PRODUCT DEVELOPMENT; ORGANIZATIONAL AMBIDEXTERITY; CULTURAL COMPETITIVENESS; KNOWLEDGE DEVELOPMENT; CONSTRUCT DEVELOPMENT; DYNAMIC CAPABILITIES; EMPIRICAL-ASSESSMENT; TRADE-OFFS	This study investigates the influence of an ambidextrous supply chain strategy on manufacturers' combinative competitive capabilities - the ability to excel simultaneously on competitive capabilities of quality, delivery, flexibility, and cost - and, in turn, on business performance. Drawing upon March's (1991) notions of exploration and exploitation, an ambidextrous supply chain strategy is conceptualized as a simultaneous pursuit of both explorative and exploitative supply chain practices. We operationalize this concept as a second-order latent construct that captures the co-variation between exploration and exploitation within the context of a manufacturer's supply chain management strategy. Using survey-based data gathered from 174 U.S. manufacturers, we find that an ambidextrous supply chain strategy coincides with combinative competitive capabilities and business performance. Our empirical finding contradicts conventional wisdom that argues for tradeoffs between exploration and exploitation. Instead, our empirical results are in line with an emerging complementarity view advocating that supply chain managers build practices to gain operational efficiency while simultaneously searching for opportunities to gain operational advantages. In addition, we provide insights regarding the role of combinative capabilities in mediating the relationship between an ambidextrous supply chain strategy and business performance. (C) 2010 Elsevier B.V. All rights reserved.
0	0	11018	472	Naor M, J OPER MANAG, 2010	The globalization of operations in Eastern and Western countries: Unpacking the relationship between national and organizational culture and its impact on manufacturing performance	2010	15	National and organizational culture; GLOBE; Convergence/divergence; Country development; Manufacturing performance; Hierarchical Linear Modeling	HUMAN-RESOURCE MANAGEMENT; FIT; VALUES; CHINA; STRATEGY; CONTEXT; MODEL; TQM	Understanding national and organizational culture becomes increasingly important in the era of transnational manufacturing. As the world becomes flat and boundaries break down, manufacturers need to understand the proper role of culture in order to obtain competitive advantage. Thus, the current study conducts a multilevel investigation of the impact of eight national and organizational culture dimensions (according to GLOBE framework) on manufacturing performance. An ANOVA comparison of 189 manufacturing plants between Eastern (Japan and South Korea) and Western (Germany, United States, Finland, and Sweden) countries indicates that organizational culture inside plants differs in three dimensions (power distance, future orientation, and performance orientation). Hierarchical Linear Modeling analysis further suggests that organizational culture has more of an effect on manufacturing performance than national culture or the fit between them. In addition, Country Developmental Indexes, both Economic and Infrastructural, do not impact manufacturing performance, reinforcing our conclusion about the weak influence of the national level factors on manufacturing performance. In an era of globalization, these results have practical implications for organizations expanding across national boundaries by developing an internal organizational culture consistent with high performance manufacturing. Published by Elsevier B.V.
