10	Metters R	2000	J OPER MANAG	18	663		Journal	Article	34	A typology of de-coupling strategies in mixed services	WOS:000165092500005	service operations; operations strategy	FUTURE-RESEARCH; CUSTOMER; MODEL; ORGANIZATION; FLEXIBILITY; OPERATIONS; QUALITY; DESIGN	6	A typology of a class of service systems is proposed. The typology links strategic operational objectives to the decision to de-couple work between the front and back offices of a service system. Four specific ideal types of a strategy/de-coupling mix are described; each of which has distinct operational, marketing and human resource ramifications. A type that has had significant representation in traditional literature is the "Cost Leader" type, where back-office activities are de-coupled from the front office for the purpose of lowering costs. Another traditional type representative of the craftsman legacy is the "Personal Service" type, which retains back-office tasks in the front office to pursue non-cost-oriented strategic goals. Theoretical and empirical evidence is also given for two non-traditional types: the "Kiosk" type, where all tasks remain in the front office to achieve lower costs, and the "Focused Professional" type, which de-couples front- and back-office activities to enable front-office workers to provide higher service, rather than to reduce costs. Empirically, retail bank lending systems are analyzed to support the typology. (C) 2000 Elsevier Science B.V. All rights reserved.
11	Dennis DR	2000	J OPER MANAG	18	683		Journal	Article	14	An analysis of process industry production and inventory management systems	WOS:000165092500006	production and inventory management; process industries		6	The process industries - those firms that add value by mixing, separating, forming and/or chemical reactions by either batch or continuous mode - continue to lag behind the discrete industries in the identification and implementation of effective production and inventory management (P&IM) techniques. A contributing factor is that the process industries have traditionally been lumped together and contrasted from the discrete industries as a whole, thus leading to misunderstandings regarding individual process industries. From site interviews and the literature, we identified four critical dimensions - planning resource requirements (for materials and capacity), tracking resource consumption, control of work-in-process (WIP), and degree of computerization - represented by seven variables by which to contrast and analyze process industries. Based on in-depth field studies of 19 diverse process plants, we find that there exist at least four distinct types of process industry P&IM systems: (1) simple, (2) common, (3) WIP-controlled, and (4) computerized. (C) 2000 Elsevier Science B.V. All rights reserved.
12	Jonsson P	2000	J OPER MANAG	18	701		Journal	Article	10	Towards an holistic understanding of disruptions in Operations Management	WOS:000165092500007	operations strategy; maintenance; productivity	ADVANCED MANUFACTURING TECHNOLOGY; TOTAL QUALITY MANAGEMENT; MAINTENANCE; ORGANIZATION; MODELS	6	The paper reviews the literature on maintenance management, integrates key dimensions of maintenance within a taxonomy of maintenance configurations, and explores the impact of differing configurations on contextual factors and operational performance. "Prevention", "hard maintenance integration" and "soft maintenance integration" were identified as key maintenance variables. Data were collected from 253 Swedish manufacturing companies, and three distinct clusters were identified. "Proactive Maintainers" emphasized preventive maintenance policies. "IT Maintainers" relied on computerized and company-wide integrated information systems for maintenance. "Maintenance Laggers" emphasized all maintenance dimensions to lesser extent than the others. The importance of maintenance prevention and integration differ between contexts. There were subtle performance differences across identified configurations, but preventive and integrated maintenance were more important for companies seeking competitive process control and flexibility. There existed no group with any great emphasis on all three maintenance dimensions, but attaining truly high performance may require a rare mix of the three dimensions. This mix of variables could constitute a hypothesized "World Class Maintenance" group. (C) 2000 Elsevier Science B.V. All rights reserved.
13	Stock GN	2000	J OPER MANAG	18	719		Journal	Review	30	A typology of project-level technology transfer processes	WOS:000165092500008	technology transfer; technological innovation; configurational research; project management; information processing theory; interdependence theory	R-AND-D; PRODUCT DEVELOPMENT; STRATEGIC MANAGEMENT; MANUFACTURING STRATEGY; INTERFIRM COOPERATION; EMBEDDED KNOWLEDGE; INNOVATION; FIRMS; INFORMATION; IMPACT	6	This paper develops a conceptual typology of inward technology transfer (ITT), which explicitly considers technology transfer at the project, rather than the firm, level of analysis. Building on extant technology management literature and the organizational theories of information processing and interdependence, we carefully characterize the three dimensions of the typology: the technology uncertainty of the technology that is transferred, the organizational interaction between the technology source and recipient, and transfer effectiveness. Appropriate matches of technology uncertainty and organizational interaction result in four archetypal cases called "transfer process types", which represent the most effective approaches to technology transfer. Real-life examples of effective and ineffective matches are presented, and implications of the typology for future research and practice are discussed. (C) 2000 Elsevier Science B.V. All rights reserved.
14	Rondeau PJ	2000	J OPER MANAG	18	509		Journal	Article	25	Exploring work system practices for time-based manufacturers: their impact on competitive capabilities	WOS:000088418900001	work system practices; time-based manufacturers; standardization; integration	ORGANIZATIONAL-STRUCTURE; TECHNOLOGY; PARADIGM; MODELS; FIT	5	Manufacturing firms operating in a post-industrial environment have customers who demand specialized products and short lead times. To meet these needs, organizations are adopting time-based manufacturing practices to cut time and improve performance. The central tenet of this study is that rime-based manufacturers employ traditional work system practices including standardization, formalization, and routinization plus integration to improve competitiveness. This study measures the levels of time-based manufacturing practices, work system practices, and competitive capabilities of 265 firms. The results indicate that firms with high levels of time-based manufacturing practices tend to have high levels of standardization and formalization as well as integration. Firms with high levels of standardization and integration tended to have enhanced competitive capabilities. (C) 2000 Elsevier Science B.V. All rights reserved.
15	Stock GN	2000	J OPER MANAG	18	531		Journal	Article	120	Enterprise logistics and supply chain structure: the role of fit	WOS:000088418900002	enterprise logistics; supply chain structure; organizational performance	DISTRIBUTION CHANNELS; BUSINESS STRATEGY; PERFORMANCE; NETWORKS; IMPACT; FORMS; COMMUNICATION; ORGANIZATIONS; COOPERATION; ENVIRONMENT	5	The emergence of the extended manufacturing enterprise, a globally dispersed collection of strategically aligned organizations, has brought new attention to how organizations coordinate the flow of information and materials across their supply chains. This paper explores and develops the concept of enterprise logistics [Greis, N.P., Kasarda, J.D,, 1997. Enterprise logistics in the information age. California Management Review 39 (3), 55-78] as a tool for integrating the logistics activities both within and between the strategically aligned organizations of the extended enterprise. Specifically, this paper examines the fit between an organization's enterprise logistics integration capabilities and its supply chain structure. Using a configurations approach, we test whether globally dispersed network organizations that adopt enterprise logistics practices are able to achieve higher levels of organizational performance. Results indicate that enterprise logistics is a necessary tool for the coordination of supply chain operations that are geographically dispersed around the world. However, for a pure network structure, a high level of enterprise logistics integration alone does not guarantee improved organizational performance. The paper ends with a discussion of managerial implications and directions for future research. (C) 2000 Elsevier Science B.V. All rights reserved.
16	Ahire SL	2000	J OPER MANAG	18	549		Journal	Review	88	The impact of design management and process management on quality: an empirical investigation	WOS:000088418900003	TQM; design management; process management; product quality; empirical; structural equations modeling	CONSTRUCT-VALIDITY; PERFORMANCE; MODEL; TQM; PERSPECTIVE; INVARIANCE; FIRMS	5	Design management and process management are two important elements of total quality management (TQM) implementation. They are drastically different in their targets of improvement, visibility, and techniques. In this paper, we establish a framework for identifying the synergistic linkages of design and process management to the operational quality outcomes during the manufacturing process (internal quality) and upon the field usage of the products (external quality). Through a study of quality practices in 418 manufacturing plants from multiple industries, we empirically demonstrate that both design and process management efforts have an equal positive impact on internal quality outcomes such as scrap, rework, defects, performance, and external quality outcomes such as complaints, warranty, litigation, market share. A detailed contingency analysis shows that the proposed model of synergies between design and process management holds true for large and small firms; for firms with different levels of TQM experience; and in different industries with varying levels of competition, logistical complexity of production, or production process characteristics. Finally, the results also suggest that organizational learning enables mature TQM firms to implement both design and process efforts more rigorously and their synergy helps these firms to attain better quality outcomes. These findings indicate that, to attain superior quality outcomes, firms need to balance their design and process management efforts and persevere with long-term implementation of these efforts. Because the study spans all of the manufacturing sectors (SIC 20 through 39), these conclusions should help firms in any industry revisit their priorities in terms of the relative efforts in design management and process management. (C) 2000 Elsevier Science B.V. All rights reserved.
17	D'Souza DE	2000	J OPER MANAG	18	577		Journal	Article	90	Toward a taxonomy of manufacturing flexibility dimensions	WOS:000088418900004	manufacturing; flexibility; measurement; empirical research	STRATEGY; SYSTEMS; PERFORMANCE	5	Researchers agree on the importance of manufacturing flexibility but are somewhat divided on the dimensions of this important construct. This paper seeks to find a middle-ground by working toward a generally acceptable taxonomy of manufacturing flexibility dimensions. The authors build on extant literature and propose a theoretically grounded operationalization of the manufacturing flexibility construct. Operational measures of manufacturing flexibility dimensions are identified and tested on a sample of 240 manufacturing firms. Results indicate good support for the theorized taxonomy. (C) 2000 Elsevier Science B.V. All rights reserved.
18	Miller JL	2000	J OPER MANAG	18	387		Journal	Article	82	Service recovery: a framework and empirical investigation	WOS:000086970100001	empirical research; service operations	QUALITY; EMPLOYEES	4	Although recovery activities are primarily managed by the operations function, service recovery has received little attention in the. operations management literature. This paper outlines a framework for examining the service recovery process and then reports on an empirical study to test this framework. The results not only validate much of what is anecdotally claimed by researchers and casual observers of service industries, but also highlight the role of operational activities in service recovery. The paper then points to the need for an array of operations-based research efforts that will lead to better understanding of the recovery process and to more empirically based descriptive and prescriptive models. (C) 2000 Elsevier Science B.V. All rights reserved.
19	Tatikonda MV	2000	J OPER MANAG	18	401		Journal	Article	109	Successful execution of product development projects: Balancing firmness and flexibility in the innovation process	WOS:000086970100002	product development; project management; technology; innovation management; empirical research	RESEARCH-AND-DEVELOPMENT; DEVELOPMENT CYCLE TIME; FUZZY FRONT-END; ORGANIZATIONAL-STRUCTURE; WORK CHARACTERISTICS; TEAM AUTONOMY; SPECIAL ISSUE; COMMUNICATION; STRATEGY; DESIGN	4	This paper investigates project management methods used during the execution phase of new product development projects. Based on prior field observations, organizational theory and product development literature, we pose hypotheses regarding the effectiveness of the project execution methods of formality, project management autonomy and resource flexibility. A cross-sectional survey sample of 120 completed new product development projects from a variety of assembled products industries is analyzed via hierarchical moderated regression. We find that the project execution methods are positively associated with project execution success. Further, these methods are effective singly and collectively, suggesting that firms can ''balance firmness and flexibility" in product development via appropriate execution methods. Surprisingly, the effectiveness of these methods is not contingent on the product or process technology novelty inherent in a given development project. The findings suggest that firms should adopt high levels of these approaches, and that a variety of projects can be managed using broadly similar project execution methods. The findings also suggest limitations on the application of organizational information processing theory to the context of product development projects. Directions for additional theory development are outlined. (C) 2000 Elsevier Science B.V. All rights reserved.
20	Kim SC	2000	J OPER MANAG	18	427		Journal	Article	35	Flexible bed allocation and performance in the intensive care unit	WOS:000086970100003	operations strategy; computer simulations; facility layout; scheduling	DATA ENVELOPMENT ANALYSIS; EFFICIENT FRONTIER; BENCHMARKING; MANAGEMENT; SYSTEM	4	The beds of an intensive care unit (ICU) are a scarce resource. Stochastic patient demands for these beds and stochastic service times in their utilization make managing that resource a complex problem lacking an easy solution. The current practice in one Hong Kong hospital is for the ICU administrator to exploit the fact that there are some patients whose admission to the unit can be postponed. These are patients scheduled for an elective surgery that can be cancelled. One way to minimize the number of cancelled surgeries is to reserve some of the unit's beds for the exclusive use of the elective-surgery patients. We evaluate various bed-reservation schemes via a simulation model that is based on this ICU's historical data, and demonstrate the tradeoffs that each requires among various relevant system-performance measures. We further show how this information can be summarized in a classic efficient frontier. This frontier provides a useful medium through which the ICU administrator can communicate the rationale behind the chosen bed-allocation system to the surgeons and the ICU physicians, in an attempt to resolve the potential conflicts between them. (C) 2000 Elsevier Science B.V. All rights reserved.
21	Brown KA	2000	J OPER MANAG	18	445		Journal	Article	70	Predicting safe employee behavior in the steel industry: Development and test of a sociotechnical model	WOS:000086970100004	workplace safety; industrial accidents; unsafe work practices; safety-efficacy; safety hazards; safety climate; accident diagnosis	POOR PERFORMANCE; WORKPLACE; MANAGEMENT; WORK; ORGANIZATIONS; OBSTACLES; HEALTH	4	Industrial safety is an important issue for operations managers - it has implications for cost, delivery, quality, and social responsibility. Minor accidents can interfere with production in a variety of ways, and a serious accident can shut down an entire operation. In this context, questions about the causes of workplace accidents are highly relevant. There is a popular notion that employees' unsafe acts are the primary causes of workplace accidents, but a number of authors suggest a perspective that highlights influences from operating and social systems. The study described herein addresses this subject by assessing steelworkers' responses to a survey about social, technical, and personal factors related to safe work behaviors. Results provide evidence that a chain reaction of technical and social constructs operate through employees to influence safe behaviors. These results demonstrate that safety hazards, safety culture, and production pressures can influence safety efficacy and cavalier attitudes, on a path leading to safe or unsafe work behaviors. Based on these results, we conclude with prescriptions for operations managers and others who play roles in the causal sequence. (C) 2000 Elsevier Science B.V. All rights reserved.
22	Guide VDR	2000	J OPER MANAG	18	467		Journal	Article	227	Production planning and control for remanufacturing: industry practice and research needs	WOS:000086970100005	environmental issues; production planning	CONTROL STRATEGIES; EOQ REPAIR; DISPOSAL; ENVIRONMENT; MODEL; OPERATIONS; ECONOMICS; LOGISTICS; POLICIES; ISSUES	4	Remanufacturing represents a higher form of reuse by focusing on value-added recovery, rather than materials recovery (i.e., recycling). Remanufacturing systems are widespread in the United States and are profitable. However, the management of production planning and control activities can differ greatly from management activities in traditional manufacturing. We report on managerial remanufacturing practices via a survey of production planning and control activities at remanufacturing firms in the United States. Production planning and control activities are more complex for remanufacturing firms due to uncertainties from stochastic product returns, imbalances in return and demand rates, and the unknown condition of returned products. We identify and discuss seven complicating characteristics that require significant changes in production planning and control activities. We also describe the research opportunities that exist for each of the complicating characteristics. (C) 2000 Elsevier Science B.V. All rights reserved.
23	Vokurka RJ	2000	J OPER MANAG	18	485		Journal	Article	107	A review of empirical research on manufacturing flexibility	WOS:000086970100006	manufacturing flexibility; empirical research; measurement and methodology	FLEXIBLE AUTOMATION; CONSTRUCT-VALIDITY; PERFORMANCE; STRATEGY; DESIGN; MATRIX; FIRM	4	Manufacturing flexibility is widely recognized as a critical component to achieving a competitive advantage in the marketplace. A comprehensive look at the empirical research pertaining to manufacturing flexibility highlights the very fragmented nature of this body of work. We present a comprehensive contingency-based framework for examining the content related issues involving the relationships and variables included in past studies. We also examine several important research design/methodology issues (e.g., sampling, data collection and measurement) and propose solutions to some identified problems. (C) 2000 Elsevier Science B.V. All rights reserved.
24	Kotha S	2000	J OPER MANAG	18	257		Journal	Article	94	Strategy, advanced manufacturing technology and performance: empirical evidence from US manufacturing firms	WOS:000086394200001	advanced manufacturing technology; performance; strategy	ORGANIZATIONAL-STRUCTURE; FLEXIBLE AUTOMATION; UNCERTAINTY; MARKETS; CONTEXT; DESIGN; FIT	3	This study investigates the complex relationships among strategy, advanced manufacturing technology (AMT) and performance using survey responses from 160 U.S. manufacturing firms. In contrast to previous studies that emphasize only the flexibility dimension of AMT, this study adopts a multidimensional view of AMT by stressing the information processing capability inherent in AMTs. The study found support for four dimensions of AMT: information exchange and planning technology (IEPT), product design technology (PDT), low-volume flexible automation technology (LVFAT), and high-volume automation technology (HVAT). The results found also indicate empirical support for the study's major premise that a fit between certain strategy-AMT dimensions will be associated with superior performance. Using the findings, the study discusses the implications of the findings and suggests several avenues for future research. (C) 2000 Elsevier Science B.V. All rights reserved.
25	McCutcheon D	2000	J OPER MANAG	18	279		Journal	Article	86	Issues in the choice of supplier alliance partners	WOS:000086394200002	purchasing; technology management	BUYER-SELLER RELATIONSHIPS; STRATEGIC ALLIANCES; CHAIN MANAGEMENT; TRUST; GOVERNANCE; REQUIREMENTS; DETERMINANTS; COOPERATION; COMPETENCE; BEHAVIOR	3	Supplier alliances have been widely touted but there are probably a limited number of situations where they are applicable. This paper develops a model of important factors that define which suppliers offer the best choices for pursuing alliance-like relationships. Some factors relate to the technology of the goods or services being sourced; others relate to the ability to develop mutual goodwill trust with the targeted supplier. The model was developed through a combination of extensive literature reviews and a series of interviews with managers in 15 manufacturing and service firms. (C) 2000 Elsevier Science B.V. All rights reserved.
26	Ketzenberg M	2000	J OPER MANAG	18	303		Journal	Article	10	Inventory policy for dense retail outlets	WOS:000086394200003	service operations; inventory control	LOST SALES; MODEL; SPACE; MANAGEMENT	3	A potential retail operations strategy is to have a "dense" store. That is, a store that combines high product variety with a small footprint. Retail management desires smaller stores to provide the strategic benefits of convenience and speed to customers, but desires larger stores to provide high product variety. Noting the benefits of smaller, more numerous stores, several retailers well known for their extremely large store size recently have begun experimenting with a small store format. Traditional retail inventory management policies, however, have difficulty combining high variety and small store size. Here, the potential advantages of the dense store type are explored. To facilitate this exploration, inventory policies are developed to help manage small stores by increasing their product density. Results based on grocery industry data indicate that the heuristics compare favorably to optimality and permit the dense store concept to potentially achieve substantial gains compared to current practice. (C) 2000 Elsevier Science B.V. All rights reserved.
27	Shin H	2000	J OPER MANAG	18	317		Journal	Article	197	Supply management orientation and supplier/buyer performance	WOS:000086394200004	supply chain management; competitive priorities; Supplier Performance; covariance structure modeling	TOTAL QUALITY MANAGEMENT	3	Academics and practitioners agree that excellence in supply management results in better quality, customer service, and channel performance. Yet, most of these studies are either conceptual in nature or actual case studies. The primary objective of this research is to test the impact of a supply management orientation (SMO) on the suppliers' operational performance and buyers' competitive priorities (cost, quality, delivery, flexibility). Three major research hypotheses associated with SMO, Supplier Performance (SP), and Buyer Performance (BP) are tested using a confirmatory structural equation modeling approach. The results of this research support the conclusion that an improvement (increase) in the SMO improves both the suppliers' and buyers' performance (i.e., a win-win situation for the supply chain). In addition, the influence of SMO on delivery- and quality-related performance is more statistically significant than on cost or flexibility performance. In fact, when volume and process flexibility are top competitive priorities, a supply chain management orientation may not be an effective way to achieve the desired flexibility. The article ends by discussing other conclusions and suggests directions for future research. (C) 2000 Elsevier Science B.V. All rights reserved.
28	Sarkis J	2000	J OPER MANAG	18	335		Journal	Article	88	An analysis of the operational efficiency of major airports in the United States	WOS:000086394200005	data envelopment analysis; productivity; logistics; service operations	DATA ENVELOPMENT ANALYSIS; AIRLINE INDUSTRY; PRODUCTIVITY; PERFORMANCE; HUBS	3	Recently, considerable attention has been focused on the performance of various airlines and air carriers in terms of efficiency. Although it is obvious that air carriers use airports, few studies have focused on airport operational efficiency. This empirical study evaluates the operational efficiencies of 44 major U.S. airports using data envelopment analysis and some of its recent developments. Various airport characteristics are evaluated to determine their relationship to an airport's efficiency. Efficiency measures are based on four resource input measures including airport operational costs, number of airport employees, gates and runways, and five output measures including operational revenue, passenger flow, commercial and general aviation movement, and total cargo transportation. The results of this study have operational as well as public policy implications. (C) 2000 Elsevier Science B.V. All rights reserved.
29	Vastag G	2000	J OPER MANAG	18	353		Journal	Article	23	The theory of performance frontiers	WOS:000086394200006	theory of performance frontiers; capacity management; resource-based view of organizations; operations strategy	SUSTAINED COMPETITIVE ADVANTAGE; RESOURCE-BASED VIEW; PRODUCTION COMPETENCE; FIRM	3	This paper seeks to illustrate how the basic theory of performance frontiers proposed by Schmenner and Swink [Schmenner, R.L., and Swink, M.L., 1998. On theory in operations management. Journal of Operations Management, 17, 97-113] can be extended to apply to a broader range of operations management issues. It extends the scope of the proposed theory to include a "between-firm" level analysis which can be useful in assessing a firm's competitive position and for strategic decision making. In addition, this paper provides a link between the resource-based view of organizations that has gained some prominence in the strategy literature and the proposed theory of performance frontiers. This paper argues that the operating frontiers of organizations represent unique resources and they are more important than the asset frontiers in achieving a competitive advantage because these unique resources are valuable, rare and specific to a given firm, and they are difficult to replicate. Future research directions and research methods focusing on the internal resources of competitive advantage are also discussed. (C) 2000 Elsevier Science B.V. All rights reserved.
30	Boyer KK	2000	J OPER MANAG	18	361		Journal	Article	70	Measurement issues in empirical research: improving measures of operations strategy and advanced manufacturing technology	WOS:000086394200007	operations strategy; technology management; measurement and methodology; empirical research		3	Our objective in this paper is to examine measures used in survey-based research in operations management. Specifically, we examine measures commonly used to assess operations strategy and advanced manufacturing technology in survey-based research. Examining two measures provides the ability to examine problems common to many of the measures used in operations management research. In addition, the two measures are addressing two different levels of strategic analysis: competitive priorities and a specific structural decision that (should) support these priorities. This should give us a broader understanding of the measurement issues we are facing as a field. We argue that while many of the commonly employed measures display many worthwhile properties, further refinement of measures and methods is needed to improve the field as a whole. Suggestions to improve measures and methods used in the field are then offered. (C) 2000 Elsevier Science B.V. All rights reserved.
