CommunityID	Keywords	TF	DF	TF-IDF	Sigma
0	EMPLOYEE ABSENTEEISM	0.0625	0.0273	0.2251	0.8651
0	LOSS MODEL	0.1250	0.0545	0.3636	1.2410
0	INTEGER PROGRAMMING	0.1250	0.0455	0.3864	1.5275
0	DYNAMIC PROGRAMMING	0.0625	0.0273	0.2251	0.8651
0	CALL CENTERS	0.3125	0.3000	0.3762	0.1091
0	PERSONNEL SCHEDULING	0.0625	0.0455	0.1932	0.3273
0	BANKING	0.1875	0.0909	0.4496	1.3440
0	MODEL-PARAMETER UNCERTAINTY	0.0625	0.0273	0.2251	0.8651
0	BRANCH AND BOUND	0.1250	0.0545	0.3636	1.2410
0	CALL CENTER OPERATIONS	0.1250	0.0455	0.3864	1.5275
0	HOSPITAL EMERGENCY ROOMS	0.1250	0.0455	0.3864	1.5275
0	APPROXIMATION	0.0625	0.0182	0.2505	1.3268
0	SAMPLE PATH CONVEXITY	0.1250	0.0273	0.4502	2.4000
0	CUSTOMER ABANDONMENT	0.0625	0.0273	0.2251	0.8651
0	ADMISSION CONTROL	0.0625	0.0182	0.2505	1.3268
0	BALKING	0.1250	0.0364	0.4143	1.8940
0	DOUBLY STOCHASTIC PROCESSES	0.1250	0.0455	0.3864	1.5275
0	STAFFING	0.3125	0.1818	0.5327	1.3553
0	FINANCIAL SERVICES	0.0625	0.1182	0.1335	-0.6899
1	STORE PERFORMANCE	0.0139	0.0091	0.0653	0.4289
1	CHAINING	0.0139	0.0091	0.0653	0.4289
1	HEAVY TRAFFIC	0.0278	0.0182	0.1113	0.6094
1	BEHAVIORAL OPERATIONS MANAGEMENT	0.0278	0.0182	0.1113	0.6094
1	QUEUEING	0.0694	0.0545	0.2020	0.5567
1	CUSTOMER CONTACT CENTERS	0.0278	0.0364	0.0921	-0.3892
1	EPSILON EQUILIBRIUM	0.0139	0.0091	0.0653	0.4289
1	RETAIL OPERATIONS	0.0139	0.0091	0.0653	0.4289
1	BURSTY CALL ARRIVAL	0.0278	0.0364	0.0921	-0.3892
1	LEAN PROCESS IMPROVEMENT	0.0139	0.0091	0.0653	0.4289
1	CROSS-SELLING HEURISTIC	0.0278	0.0273	0.1001	0.0263
1	STOCHASTIC METHODS	0.0139	0.0273	0.0500	-0.6972
1	TRAFFIC VARIABILITY	0.0139	0.0091	0.0653	0.4289
1	TELEPHONE CALL CENTERS	0.0417	0.0455	0.1288	-0.1543
1	DELAY ANNOUNCEMENTS	0.0139	0.0182	0.0557	-0.2726
1	HALFIN-WHITT REGIME	0.0139	0.0091	0.0653	0.4289
1	STRUCTURAL ESTIMATION	0.0139	0.0091	0.0653	0.4289
1	SKILL-BASED ROUTING	0.1111	0.1182	0.2373	-0.1859
1	QUEUES	0.0139	0.0091	0.0653	0.4289
1	ECONOMIES OF SCALE	0.0278	0.0182	0.1113	0.6094
1	QUEUES WITH TIME-VARYING ARRIVAL RATE	0.0278	0.0455	0.0859	-0.7201
1	CHURN	0.0417	0.0455	0.1288	-0.1543
1	REAL-TIME DELAY ESTIMATION	0.0139	0.0091	0.0653	0.4289
1	OPERATIONS MARKETING INTERFACE	0.0139	0.0091	0.0653	0.4289
1	ARRIVAL PROCESS	0.0278	0.0182	0.1113	0.6094
1	DELAY ESTIMATION	0.0139	0.0182	0.0557	-0.2726
1	NASH EQUILIBRIUM	0.0139	0.0091	0.0653	0.4289
1	DESIRABLE FLEXIBILITY STRUCTURES	0.0139	0.0091	0.0653	0.4289
1	VALUE-BASED ROUTING	0.0278	0.0364	0.0921	-0.3892
1	DIMENSION REDUCTION	0.0139	0.0182	0.0557	-0.2726
1	INTEGER PROGRAMMING	0.0278	0.0455	0.0859	-0.7201
1	PERFORMANCE MANAGEMENT	0.0278	0.0182	0.1113	0.6094
1	SERVICE FAILURE	0.0139	0.0091	0.0653	0.4289
1	AUTONOMY	0.0139	0.0091	0.0653	0.4289
1	CONTACT CENTERS	0.0972	0.0727	0.2548	0.8004
1	MODEL-PARAMETER UNCERTAINTY	0.0278	0.0273	0.1001	0.0263
1	CUSTOMER ABANDONMENT	0.0278	0.0273	0.1001	0.0263
1	SERVICE MANAGEMENT	0.0139	0.0091	0.0653	0.4289
1	SAMPLE PATH CONVEXITY	0.0139	0.0273	0.0500	-0.6972
1	PIECE RATE	0.0139	0.0091	0.0653	0.4289
1	SERVICE SYSTEMS	0.0278	0.0182	0.1113	0.6094
1	PRICING	0.0417	0.0273	0.1501	0.7499
1	SERVICE LEVEL	0.0278	0.0182	0.1113	0.6094
1	PERSONNEL SCHEDULING	0.0278	0.0455	0.0859	-0.7201
1	SCREENING	0.0278	0.0182	0.1113	0.6094
1	SERVICES MARKETING	0.0278	0.0182	0.1113	0.6094
1	QUEUEING SYSTEMS	0.0139	0.0273	0.0500	-0.6972
1	STOCHASTIC CONVEXITY	0.0139	0.0273	0.0500	-0.6972
1	THRESHOLDS	0.0278	0.0273	0.1001	0.0263
1	DYNAMIC UPDATING	0.0278	0.0182	0.1113	0.6094
1	CALL ROUTING	0.0278	0.0364	0.0921	-0.3892
1	EMPIRICAL RESEARCH	0.0278	0.0182	0.1113	0.6094
1	HEALTH CARE	0.0278	0.0182	0.1113	0.6094
1	CROSS-TRAINED SERVERS	0.0139	0.0091	0.0653	0.4289
1	GAMES	0.0139	0.0091	0.0653	0.4289
1	CHOICE MODELS	0.0139	0.0091	0.0653	0.4289
1	FLUID MODELS	0.0278	0.0455	0.0859	-0.7201
1	REAL-TIME OPTIMIZATION	0.0278	0.0455	0.0859	-0.7201
1	NO-SHOWS	0.0139	0.0091	0.0653	0.4289
1	STRESS	0.0139	0.0091	0.0653	0.4289
1	MARKETING	0.0139	0.0091	0.0653	0.4289
1	MARKETING/OPERATIONS INTERFACE	0.0278	0.0182	0.1113	0.6094
1	QUEUEING NETWORKS	0.0139	0.0091	0.0653	0.4289
1	DELAY INFORMATION	0.0139	0.0091	0.0653	0.4289
1	SIMULATIONS	0.0278	0.0182	0.1113	0.6094
1	CONVEX DELAY COSTS	0.0278	0.0182	0.1113	0.6094
1	CROSS-SELLING	0.0139	0.0091	0.0653	0.4289
1	PRIORITY QUEUES	0.0139	0.0091	0.0653	0.4289
1	BALKING	0.0278	0.0364	0.0921	-0.3892
1	SINGULAR VALUE DECOMPOSITION	0.0139	0.0182	0.0557	-0.2726
1	CAPACITY CHOICE	0.0139	0.0182	0.0557	-0.2726
1	DELAY PREDICTION	0.0139	0.0091	0.0653	0.4289
1	SHIFT SCHEDULING	0.0139	0.0091	0.0653	0.4289
1	MANY-SERVER QUEUES	0.0139	0.0091	0.0653	0.4289
1	ROUTING	0.0139	0.0091	0.0653	0.4289
1	FORECASTING	0.0278	0.0182	0.1113	0.6094
1	OPTIMAL QUEUE CONTROL	0.0139	0.0091	0.0653	0.4289
1	MULTISKILL CALL CENTERS	0.0278	0.0182	0.1113	0.6094
1	PRINCIPAL COMPONENT ANALYSIS	0.0139	0.0182	0.0557	-0.2726
1	MATHEMATICAL MODELING	0.0556	0.0545	0.1616	0.0377
1	VECTOR TIME SERIES	0.0139	0.0182	0.0557	-0.2726
1	SERVICE OPERATIONS MANAGEMENT	0.0278	0.0182	0.1113	0.6094
1	TRIAGE	0.0139	0.0091	0.0653	0.4289
1	CONTACT RATES	0.0556	0.0364	0.1841	0.8700
1	AGENT JOB SATISFACTION	0.0139	0.0091	0.0653	0.4289
1	SERVICES MANAGEMENT THEORY	0.0139	0.0091	0.0653	0.4289
1	SERVICE OPERATIONS	0.0556	0.0364	0.1841	0.8700
1	OM-ACCOUNTING INTERFACE	0.0139	0.0091	0.0653	0.4289
1	RENEWAL THEORY	0.0139	0.0091	0.0653	0.4289
1	CONGESTION-BASED STAFFING	0.0139	0.0091	0.0653	0.4289
1	WORK FORCE MANAGEMENT	0.0139	0.0091	0.0653	0.4289
1	STOCHASTIC COMPARISONS	0.0139	0.0091	0.0653	0.4289
1	TIME-DEPENDENT OVERFLOW	0.0417	0.0455	0.1288	-0.1543
1	CUSTOMER DISSATISFACTION	0.0139	0.0091	0.0653	0.4289
1	FLEXIBLE SERVICE RESOURCES	0.0417	0.0273	0.1501	0.7499
1	CAPACITY PLANNING	0.0556	0.0636	0.1530	-0.2809
1	CALL-CENTER STAFFING	0.0278	0.0364	0.0921	-0.3892
1	OUTSOURCING	0.0556	0.0818	0.1391	-0.8130
1	SERVICE ENCOUNTERS	0.0278	0.0182	0.1113	0.6094
1	INFORMATION ASYMMETRY	0.0278	0.0182	0.1113	0.6094
1	BANKING	0.0694	0.0909	0.1665	-0.6336
1	PSYCHOLOGY OF WAITING	0.0278	0.0182	0.1113	0.6094
1	FINANCIAL SERVICES	0.1250	0.1182	0.2669	0.1792
1	SERVICES	0.0139	0.0091	0.0653	0.4289
1	OVERFLOW	0.0278	0.0273	0.1001	0.0263
1	APPROXIMATE EQUILIBRIUM	0.0139	0.0091	0.0653	0.4289
1	DYNAMIC RESOURCE ALLOCATION	0.0417	0.0273	0.1501	0.7499
1	THRESHOLD POLICIES	0.0139	0.0091	0.0653	0.4289
1	CAPACITY	0.0139	0.0091	0.0653	0.4289
1	ORGANIZATIONAL LEARNING	0.0139	0.0091	0.0653	0.4289
1	PRODUCT COCREATION	0.0139	0.0091	0.0653	0.4289
1	CUSTOMER SERVICE	0.0139	0.0091	0.0653	0.4289
1	OM-HUMAN RESOURCES INTERFACE	0.0139	0.0091	0.0653	0.4289
1	COMPENSATION	0.0139	0.0091	0.0653	0.4289
1	PRODUCT CUSTOMIZATION	0.0139	0.0091	0.0653	0.4289
1	NONLINEAR DELAY COSTS	0.0278	0.0182	0.1113	0.6094
1	HEALTH INSURANCE	0.0139	0.0091	0.0653	0.4289
1	OPTIMIZATION	0.0556	0.0364	0.1841	0.8700
1	QUEUEING THEORY	0.0139	0.0273	0.0500	-0.6972
1	PARTIALLY OBSERVABLE CUSTOMER TYPES	0.0139	0.0091	0.0653	0.4289
1	WORKFORCE SCHEDULING	0.0278	0.0455	0.0859	-0.7201
1	REVENUE MANAGEMENT	0.0417	0.0273	0.1501	0.7499
1	SOCIAL OPTIMUM	0.0139	0.0182	0.0557	-0.2726
1	APPOINTMENT SCHEDULING	0.0139	0.0091	0.0653	0.4289
1	CUSTOMER CHOICE	0.0139	0.0182	0.0557	-0.2726
1	POLICE PATROL	0.0278	0.0455	0.0859	-0.7201
1	PRODUCT FAMILIARITY	0.0139	0.0091	0.0653	0.4289
1	CALL CENTER MANAGEMENT	0.0833	0.0909	0.1998	-0.2236
1	SERVICE COMPETITION	0.0139	0.0091	0.0653	0.4289
1	APPLIED OPTIMIZATION	0.0556	0.0545	0.1616	0.0377
1	LARGE MARKET SIZE	0.0278	0.0182	0.1113	0.6094
1	QUALITY CONTROL	0.0139	0.0091	0.0653	0.4289
1	EMPLOYEE TURNOVER	0.0139	0.0091	0.0653	0.4289
1	DYNAMIC FORECAST UPDATING	0.0139	0.0182	0.0557	-0.2726
1	EMPLOYEE ABSENTEEISM	0.0278	0.0273	0.1001	0.0263
1	LOSS MODEL	0.0278	0.0545	0.0808	-1.0002
1	OVERLAPPING FLEXIBILITY STRUCTURE	0.0417	0.0273	0.1501	0.7499
1	DYNAMIC PROGRAMMING	0.0278	0.0273	0.1001	0.0263
1	LEARNING CURVE	0.0139	0.0091	0.0653	0.4289
1	NORMAL DISTRIBUTION	0.0278	0.0182	0.1113	0.6094
1	FINANCIAL SERVICE OPERATIONS	0.0417	0.0455	0.1288	-0.1543
1	HEALTH CARE POLICY	0.0139	0.0091	0.0653	0.4289
1	PREDICTING AND ANNOUNCING DELAYS	0.0139	0.0091	0.0653	0.4289
1	WORKFORCE MANAGEMENT	0.0139	0.0091	0.0653	0.4289
1	UNOBSERVABLE QUEUES	0.0139	0.0273	0.0500	-0.6972
1	BUSINESS PROCESS MODELS	0.0139	0.0091	0.0653	0.4289
1	HOSPITAL EMERGENCY ROOMS	0.0278	0.0455	0.0859	-0.7201
1	STAFFING	0.1389	0.1818	0.2368	-0.9444
1	RETENTION	0.0139	0.0091	0.0653	0.4289
1	OPERATIONS	0.0417	0.0455	0.1288	-0.1543
1	RENEGING	0.0139	0.0273	0.0500	-0.6972
1	PROCESSES	0.0417	0.0455	0.1288	-0.1543
1	CUSTOMER RELATIONSHIP MANAGEMENT	0.0417	0.0364	0.1381	0.2404
1	CROSS-TRAINING	0.0278	0.0545	0.0808	-1.0002
1	STOCHASTIC FACILITY LOCATION	0.0139	0.0182	0.0557	-0.2726
1	SYSTEM BOTTLENECK	0.0139	0.0091	0.0653	0.4289
1	STORE LABOR MANAGEMENT	0.0139	0.0091	0.0653	0.4289
1	CALL CENTER OPERATIONS	0.0278	0.0455	0.0859	-0.7201
1	ASYMPTOTIC ANALYSIS	0.0139	0.0091	0.0653	0.4289
1	TURNOVER	0.0278	0.0364	0.0921	-0.3892
1	IMPATIENT CUSTOMERS	0.0139	0.0091	0.0653	0.4289
1	TIME-VARYING DEMAND	0.0278	0.0455	0.0859	-0.7201
1	ASSIGNMENT PROBLEM	0.0278	0.0364	0.0921	-0.3892
1	FIELD STUDY	0.0139	0.0091	0.0653	0.4289
1	PENALIZED LEAST SQUARES	0.0139	0.0182	0.0557	-0.2726
1	OVERBOOKING	0.0139	0.0091	0.0653	0.4289
1	TRAFFIC UNCERTAINTY	0.0139	0.0091	0.0653	0.4289
1	PRIORITY ROUTING	0.0278	0.0364	0.0921	-0.3892
1	QUEUEING MODELS OF CALL CENTERS	0.0417	0.0455	0.1288	-0.1543
1	COMPETITION	0.0139	0.0091	0.0653	0.4289
1	SERVICE FACILITY SYSTEM DESIGN	0.0139	0.0182	0.0557	-0.2726
1	PERFORMANCE EVALUATION	0.0417	0.0455	0.1288	-0.1543
1	PREFERENCE-BASED ROUTING	0.0278	0.0364	0.0921	-0.3892
1	STRATEGIC CUSTOMER	0.0139	0.0091	0.0653	0.4289
1	HEURISTICS	0.0972	0.0636	0.2678	1.1675
1	ASSET MANAGEMENT	0.0417	0.0455	0.1288	-0.1543
1	STOCHASTIC MODELS	0.0139	0.0182	0.0557	-0.2726
1	CUSTOMER BEHAVIOR	0.0139	0.0091	0.0653	0.4289
1	CORRELATION	0.0278	0.0182	0.1113	0.6094
1	SERVICE DIFFERENTIATION	0.0139	0.0091	0.0653	0.4289
1	SERVICE INDUSTRIES	0.0278	0.0182	0.1113	0.6094
1	ORDER FULFILLMENT OPERATIONS	0.0278	0.0182	0.1113	0.6094
1	CALL CENTERS	0.3056	0.3000	0.3679	0.1029
1	DOUBLY STOCHASTIC PROCESSES	0.0278	0.0455	0.0859	-0.7201
1	POOLING	0.0278	0.0273	0.1001	0.0263
1	BRANCH AND BOUND	0.0278	0.0545	0.0808	-1.0002
1	SERVICE OUTSOURCING	0.0278	0.0182	0.1113	0.6094
1	CALL RESOLUTION	0.0278	0.0182	0.1113	0.6094
1	CALL CENTER	0.0417	0.0364	0.1381	0.2404
1	STATE-DEPENDENT ANALYSIS	0.0139	0.0091	0.0653	0.4289
2	OPERATIONS	0.0455	0.0455	0.1405	0.0000
2	DEPENDENCE AMONG SERVICE TIMES	0.0455	0.0091	0.2137	1.7970
2	CROSS-TRAINING	0.0909	0.0545	0.2644	0.7511
2	STOCHASTIC FACILITY LOCATION	0.0455	0.0182	0.1822	0.9574
2	CALL-CENTER STAFFING	0.0455	0.0364	0.1506	0.2278
2	THRESHOLDS	0.0455	0.0273	0.1637	0.5236
2	QUEUEING	0.0455	0.0545	0.1322	-0.1878
2	OUTSOURCING	0.1364	0.0818	0.3414	0.9334
2	CALL ROUTING	0.0455	0.0364	0.1506	0.2278
2	BANKING	0.0909	0.0909	0.2180	0.0000
2	PARTIAL AND FULL SERVER FLEXIBILITY	0.0455	0.0091	0.2137	1.7970
2	ABANDONMENTS	0.0455	0.0182	0.1822	0.9574
2	BURSTY CALL ARRIVAL	0.0455	0.0364	0.1506	0.2278
2	TIME-VARYING DEMAND	0.0455	0.0455	0.1405	0.0000
2	VECTOR TIME SERIES	0.0455	0.0182	0.1822	0.9574
2	VALUE-BASED ROUTING	0.0909	0.0364	0.3013	1.3667
2	STAFFING	0.2273	0.1818	0.3874	0.5528
2	FLUID MODELS	0.0455	0.0455	0.1405	0.0000
2	ASSIGNMENT PROBLEM	0.0909	0.0364	0.3013	1.3667
2	OVERFLOW	0.0455	0.0273	0.1637	0.5236
2	PROCESSES	0.0455	0.0455	0.1405	0.0000
2	REAL-TIME OPTIMIZATION	0.0455	0.0455	0.1405	0.0000
2	TELEPHONE CALL CENTERS	0.0909	0.0455	0.2810	1.0235
2	DELAY ANNOUNCEMENTS	0.0455	0.0182	0.1822	0.9574
2	STOCHASTIC NETWORKS	0.0455	0.0182	0.1822	0.9574
2	PENALIZED LEAST SQUARES	0.0455	0.0182	0.1822	0.9574
2	DOUBLY STOCHASTIC ARRIVALS	0.0455	0.0182	0.1822	0.9574
2	DIMENSION REDUCTION	0.0455	0.0182	0.1822	0.9574
2	SKILL-BASED ROUTING	0.1818	0.1182	0.3883	0.9246
2	PRIORITY ROUTING	0.0455	0.0364	0.1506	0.2278
2	QUEUEING MODELS OF CALL CENTERS	0.0909	0.0455	0.2810	1.0235
2	PRINCIPAL COMPONENT ANALYSIS	0.0455	0.0182	0.1822	0.9574
2	TANDEM PRODUCTION SYSTEMS	0.0455	0.0091	0.2137	1.7970
2	CAPACITY PLANNING	0.0455	0.0636	0.1252	-0.3494
2	QUEUES WITH TIME-VARYING ARRIVAL RATE	0.0455	0.0455	0.1405	0.0000
2	POLICE PATROL	0.0455	0.0455	0.1405	0.0000
2	PERFORMANCE EVALUATION	0.0909	0.0455	0.2810	1.0235
2	PREFERENCE-BASED ROUTING	0.0909	0.0364	0.3013	1.3667
2	LINE BALANCING	0.0455	0.0091	0.2137	1.7970
2	WORKFORCE SCHEDULING	0.0455	0.0455	0.1405	0.0000
2	CHURN	0.0909	0.0455	0.2810	1.0235
2	SOCIAL OPTIMUM	0.0455	0.0182	0.1822	0.9574
2	STOCHASTIC MODELS	0.0455	0.0182	0.1822	0.9574
2	CUSTOMER CHOICE	0.0455	0.0182	0.1822	0.9574
2	SINGULAR VALUE DECOMPOSITION	0.0455	0.0182	0.1822	0.9574
2	CAPACITY CHOICE	0.0455	0.0182	0.1822	0.9574
2	DYNAMIC ROUTING	0.0455	0.0182	0.1822	0.9574
2	CALL CENTER MANAGEMENT	0.0909	0.0909	0.2180	0.0000
2	ASSET MANAGEMENT	0.0455	0.0455	0.1405	0.0000
2	OFFERED LOAD ANALYSIS	0.0455	0.0091	0.2137	1.7970
2	LARGE-SCALE SERVICE SYSTEMS	0.0455	0.0091	0.2137	1.7970
2	SERVER STAFFING	0.0455	0.0091	0.2137	1.7970
2	POINTWISE STATIONARY	0.0455	0.0182	0.1822	0.9574
2	APPLIED OPTIMIZATION	0.0909	0.0545	0.2644	0.7511
2	DYNAMIC FORECAST UPDATING	0.0455	0.0182	0.1822	0.9574
2	MATHEMATICAL MODELING	0.0909	0.0545	0.2644	0.7511
2	PEAKEDNESS	0.0455	0.0091	0.2137	1.7970
2	LOSS MODEL	0.0909	0.0545	0.2644	0.7511
2	INTEGER PROGRAMMING	0.0455	0.0455	0.1405	0.0000
2	THROUGHPUT MAXIMIZATION	0.0455	0.0091	0.2137	1.7970
2	TIME-VARYING ARRIVAL RATES	0.1364	0.0273	0.4912	3.1415
2	DELAY ESTIMATION	0.0455	0.0182	0.1822	0.9574
2	HOSPITAL EMERGENCY ROOMS	0.0455	0.0455	0.1405	0.0000
2	CALL CENTERS	0.2727	0.3000	0.3284	-0.2791
2	PERSONNEL SCHEDULING	0.0909	0.0455	0.2810	1.0235
2	SERVICE FACILITY SYSTEM DESIGN	0.0455	0.0182	0.1822	0.9574
2	FINANCIAL SERVICE OPERATIONS	0.0909	0.0455	0.2810	1.0235
2	BRANCH AND BOUND	0.0909	0.0545	0.2644	0.7511
2	POOLING	0.0455	0.0273	0.1637	0.5236
2	CALL CENTER OPERATIONS	0.0455	0.0455	0.1405	0.0000
2	INFINITE-SERVER QUEUES	0.0455	0.0091	0.2137	1.7970
2	SIMULATION	0.0455	0.0091	0.2137	1.7970
2	APPROXIMATION	0.0455	0.0182	0.1822	0.9574
2	CUSTOMER CONTACT CENTERS	0.0909	0.0364	0.3013	1.3667
2	ADMISSION CONTROL	0.0455	0.0182	0.1822	0.9574
2	INFINITE-SERVER QUEUEING MODELS	0.0455	0.0091	0.2137	1.7970
2	FINITE BUFFERS	0.0455	0.0091	0.2137	1.7970
2	TURNOVER	0.0909	0.0364	0.3013	1.3667
2	DOUBLY STOCHASTIC PROCESSES	0.0455	0.0455	0.1405	0.0000
2	TIME-DEPENDENT OVERFLOW	0.0909	0.0455	0.2810	1.0235
2	FINANCIAL SERVICES	0.1364	0.1182	0.2912	0.2642
